,tweet_dt,topic,id,username,name,tweet,like_count,reply_count,retweet_count,created_at
4080,2020-05-27,Hongkongprotests,1265544492981067778,smallpotatowo,smallpotatowo,@benedictrogers Hong Kong police are the real rioters. People who work in Central don’t have weapons but hi police… https://t.co/JrRdmi6dEk,2,0,0,2020-05-27 07:24:54
4081,2020-05-27,Hongkongprotests,1265544428829188097,Ngkaokis,Davis Tang,"@benedictrogers @ShumanTam Once again, #HKPoliceTerrorists attack innocent randomly

#StandwithHonKong… https://t.co/2ORLFb7cQR",0,0,0,2020-05-27 07:24:39
4082,2020-05-27,Hongkongprotests,1265544418381217798,Potato629Potato,メイビス@ 香港人(potato),"Still tolerate #hongkongpolicebrutality in #HongKong or give them a punch?

#HongKongProtests 
#china https://t.co/uk8eLcvS7H",1,0,1,2020-05-27 07:24:36
4083,2020-05-27,Hongkongprotests,1265544393655832577,mmmmmmmaine,MAINE♥️草啊🌱我7日無食嘢,"@TMclaughlin3 Yes and I think that’s why #HongKongPolice shot pepper pellets at them
#StandWithHongKong… https://t.co/iOd4wt4Swo",1,0,0,2020-05-27 07:24:30
4084,2020-05-27,Hongkongprotests,1265544360407556098,HKPepe7322,Pepe732,"All humans except Chinese are standing for freedom &amp; 🇭🇰ers

#StandWithHongKong #HongKongProtests #HongKongPolice… https://t.co/UDODgeDKGf",1,0,1,2020-05-27 07:24:22
4085,2020-05-27,Hongkongprotests,1265544299682451456,IndianKhyathi,🇮🇳 Khyathi 🇮🇳,"China's control over #chinaindiaborder
#HongKongProtests
#TaiwanIsNotChina
Can cause a lot of issues for them https://t.co/HEye6rXag4",1,0,0,2020-05-27 07:24:08
4086,2020-05-27,Hongkongprotests,1265544239703883777,AdrianNCF,Achafoo 🎗😷✋🏻🎗,Stopped &amp; searched at Mongkok #HongKongProtests https://t.co/exYc1G5J8b,0,0,1,2020-05-27 07:23:54
4087,2020-05-27,Hongkongprotests,1265544167134019587,wing_ng4,Wing Ng,"Most of them are students ONLY............. 😢
There is no future at all if we are living under CCP's control.......… https://t.co/P1ufLnWFjo",1,0,2,2020-05-27 07:23:36
4088,2020-05-27,Hongkongprotests,1265544133516693505,waif312,i,so hong kong police can do whatever they want in central now. #HongKongProtests #StandWithHongKong #PressFreedom https://t.co/3CXf7nxFHU,6,0,10,2020-05-27 07:23:28
4089,2020-05-27,Hongkongprotests,1265544071319293953,Klafmann,Klafmann 琴佬,"#Central, CBD of Hong Kong. De facto running with martial law in #HongKong now. 

#HongKongProtests 
#HongKonger… https://t.co/65rD215DES",36,0,38,2020-05-27 07:23:13
4090,2020-05-27,Hongkongprotests,1265544070656659456,LianainFilms,Lianain Films,"Near Pacific Place, riot police surround a group of about 20+ people #HK #HongKongProtests https://t.co/CBnZuNJgPi",5,0,7,2020-05-27 07:23:13
4091,2020-05-27,Hongkongprotests,1265544068110614529,Szell51810733,Szell,"Police shoots the people in Central

#hongkong #HongKongProtests #FreeHongKong #democracy #StandWithHongKong… https://t.co/KlwcBAZAmx",0,0,1,2020-05-27 07:23:13
4092,2020-05-27,Hongkongprotests,1265544037962055682,HongSave,Hafa🇭🇰,"Search for “Pacific Place” in #GoogleMaps and this is what you’ll see in the 360 shot.

Proud to be a #HongKonger… https://t.co/ICXY0cgSbk",9,0,6,2020-05-27 07:23:05
4093,2020-05-27,Hongkongprotests,1265544030294888448,SonsonBabe,SonsonBB,@joshuawongcf @Reuters @business Finally the sanction day is around the corner.  China is seeking to erode HK's aut… https://t.co/0xgIvCQH0m,0,0,0,2020-05-27 07:23:04
4094,2020-05-27,Hongkongprotests,1265544012733259776,sunset_ck,CK🐽🌳🐑🐕🐈,"How was your lunch?
#StandWithHongKong 
#pepperlunch
#HongKongProtests https://t.co/wgVWLnvQj2",0,0,0,2020-05-27 07:22:59
4095,2020-05-27,Hongkongprotests,1265543995280756740,tungtungb2,tungtungb,"Can you please help the Hong Kongers, we really need your help!! HK Terrorist Police freedom to shooting workers wh… https://t.co/W8i9s5IYQ9",2,0,2,2020-05-27 07:22:55
4096,2020-05-27,Hongkongprotests,1265543939530031108,MichaelChanHK1,hamadguaHK😷,"@SarahChampionMP #5DemandsNot1Less 
#HongKongProtests will never end until 5demands r fulfilled. #StandWithHongKong… https://t.co/6qNJP0RgBV",0,0,0,2020-05-27 07:22:42
4097,2020-05-27,Hongkongprotests,1265543874224754689,why2324,RL,"Meanwhile in Central, Hong Kong, #hongkongpoliceterrorists attacked citizens #HongKongProtests #HKpolicebrutality… https://t.co/UqOWKZprb7",1,0,1,2020-05-27 07:22:26
4098,2020-05-27,Hongkongprotests,1265543842956292100,alvinllum,Alvin Lum,At least 26 persons in Central taken away by police for allegedly participating in unlawful assembly.… https://t.co/rGFYU6c7Dp,21,0,29,2020-05-27 07:22:19
4099,2020-05-27,Hongkongprotests,1265543824094515200,kase9921,cm🌱ʰᵏ,"Being young is a crime in Hong Kong 
#StandWithHongKong #HongKongProtests https://t.co/SieSRIspAx",0,0,0,2020-05-27 07:22:14
4100,2020-05-27,Hongkongprotests,1265543806264528902,maxlikeamess,MadMax,"27 May 15:16
Wan Chai, Queen's Road East

&gt;50 citizens being searched &amp; detained. 

#HongKong
#HongKongProtests 
Sr… https://t.co/HlwlRSSdNd",1,0,1,2020-05-27 07:22:10
4101,2020-05-27,Hongkongprotests,1265543749964378118,NoelFranca1,Noel Franca,"@BBCWorld To make sure #ProChinese law makers pass the controversial bill of national anthem, #HongKongPoliceState… https://t.co/05gUgPXGkW",1,0,0,2020-05-27 07:21:57
4102,2020-05-27,Hongkongprotests,1265543745539395586,GeoffreyKFCheng,Geoff K. Cheng,"Almost 2 hours later, those who were held for a stop &amp; search are still detained outside Hysan Place. It appears th… https://t.co/KkbEbgb9Su",0,0,0,2020-05-27 07:21:56
4103,2020-05-27,Hongkongprotests,1265543692842041352,gligli23892613,gligli,"This is my home, Hong Kong😭😭😭

#PlsStandWithHongKong
#HongKongProtests 
#PlsSaveForUs
#NationalSecurityLaw… https://t.co/oGDHd5JmzO",0,0,0,2020-05-27 07:21:43
4104,2020-05-27,Hongkongprotests,1265543663561650179,m_g_hk,Mongkok_minibus😷,How not to disperse crowd in the financial district in Hong Kong 🤦🏻‍♀️ chase them with more pepper bullets! The HKP… https://t.co/3OZYsscYGL,0,0,0,2020-05-27 07:21:36
4105,2020-05-27,Hongkongprotests,1265543607190269953,nat_yhh,Liberty or Death,@benedictrogers #Hongkongers walk on the street to say no to the law peacefully. But this is how #hkpolice suppress… https://t.co/93eMBNl5Gz,1,0,0,2020-05-27 07:21:23
4106,2020-05-27,Hongkongprotests,1265543568061497344,karaage_DTY,Ｄちゃん @ 香港🌻,"Resistance becoming a form of habit of this city. It’s kinda desperate along with a sense of hope...

Hong Kong pol… https://t.co/3xUiNhuIt4",1,0,2,2020-05-27 07:21:13
4107,2020-05-27,Hongkongprotests,1265543441775235072,Surewinsan,Surewinsan@ホールツアー2019,"Hong Kong police fire pepper pellets as protests flare in financial heart https://t.co/Kx5dRlrn0K 
#Fightforfreedom… https://t.co/RMOIta4uz1",9,0,11,2020-05-27 07:20:43
4108,2020-05-27,Hongkongprotests,1265543290218262531,summerhk811,sunnysideup,They have blocked all the roads in Hong Kong Island and suppress all the peaceful protests. Why dont you just impos… https://t.co/Y5OlEpJNHI,3,0,4,2020-05-27 07:20:07
4109,2020-05-27,Hongkongprotests,1265543219049369601,ztxyfhk,ztxyfhk,Hong Kong is under British colonial rule for 100 years. And we learn what Democracy is from that and we try our bes… https://t.co/PJu1e2hLGW,1,0,0,2020-05-27 07:19:50
4110,2020-05-27,Hongkongprotests,1265543137734393862,iamfromhongkong,Wesley WONG 🇭🇰 🖐️☝️ 🎗,#HongKong  people gathered during lunch in Central. The police fired pepper balls and people on the scene hurriedly… https://t.co/gO9vjHCx9h,1,0,0,2020-05-27 07:19:31
4111,2020-05-27,Hongkongprotests,1265543128037064704,vs28996577,VS,@guardian @FirstfishFirst “Protect”??! The world still remembers they also have “protected” thousands of students i… https://t.co/xtasuEzqHh,1,0,0,2020-05-27 07:19:29
4112,2020-05-27,Hongkongprotests,1265543104838406144,boboting2001,Bobo Ting,The police have arrested a churchman. #HongKongProtests #StandWithHongKong https://t.co/GmL4oSTr5E,0,0,0,2020-05-27 07:19:23
4113,2020-05-27,Hongkongprotests,1265543004586213382,rachelho1229,Rachhhhh,"#HongKongPolice aiming at #reporters
.
#PrayforHongKong #HongKongProtests #PoliceBrutality #hongkongpolicebrutality… https://t.co/FAf97PGhWR",1,0,0,2020-05-27 07:18:59
4114,2020-05-27,Hongkongprotests,1265542828542787587,YourBroH,🥽HKBRO. HUNTER😷,#HongKong is not safe at all! #HKPoliceTerrorists can use the weapons randomly upon their emotion.… https://t.co/tpiiN0paMo,0,0,0,2020-05-27 07:18:17
4115,2020-05-27,Hongkongprotests,1265542793591742464,hy_olia,Olia,"#HongKongPolice have gone insane.

#HongKongProtests #HongKongPoliceState #StandwithHK #StandWithHongKong… https://t.co/gDTy4XskXI",2,0,2,2020-05-27 07:18:09
4116,2020-05-27,Hongkongprotests,1265542748687470607,love852hongkong,A person chosen by the era,"@benedictrogers It’s really touching❤️
#StandWithHongKong 
#HongKongProtests",0,0,0,2020-05-27 07:17:58
4117,2020-05-27,Hongkongprotests,1265542720338132994,Woppa1Woppa,woppa 🎗😷,"Kids shout ""1-2-1-2"" to walk in unison so no one gets left behind.  Well, still sucks to be the last one, as 5 minu… https://t.co/AIVeSXzsEk",2428,0,2645,2020-05-27 07:17:51
4118,2020-05-27,Hongkongprotests,1265542698863407104,Marnova,Martha Nova,It's finally happening. Will the world stand up against #China to defend #HongKong? I doubt it. #deathofHongKong… https://t.co/QbrifFlTuH,1,0,0,2020-05-27 07:17:46
4119,2020-05-27,Hongkongprotests,1265542695889653767,WilsonChung19,Wilson Chung,"You telling me, this is the greatest police  in Asia....
#nmslese 
#StandWithHongKong 
#HongKongProtests… https://t.co/C9mh9NMiR4",1,0,1,2020-05-27 07:17:46
4120,2020-05-27,Hongkongprotests,1265542548761780224,danielfyork,Daniel York Loh 😷,That picture just says it all #HongKongProtests https://t.co/dD2l1nk5Ci,1,0,0,2020-05-27 07:17:10
4121,2020-05-27,Hongkongprotests,1265542466477883392,mmmmmmmaine,MAINE♥️草啊🌱我7日無食嘢,"@FT This is what happens when you give thieves the right to carry guns
#HongKongPolice
#HongKongProtests https://t.co/CHTXCgvjxb",0,0,0,2020-05-27 07:16:51
4122,2020-05-27,Hongkongprotests,1265542265537249286,gligli23892613,gligli,"Today Hong Kong!😭😭😭

#NationalSecurityLaw 
#StandWithHongKong 
#HongKongProtests https://t.co/hUQ6XjAyIp",0,0,0,2020-05-27 07:16:03
4123,2020-05-27,Hongkongprotests,1265542158901219328,freehk13141,freehk1314😷🥽🌂🇭🇰,@demosisto This is absolutely outrageous. See what the #HKPoliceTerrorists have done to the unarmed civilians in Ce… https://t.co/00YYpBY8ZH,0,0,0,2020-05-27 07:15:37
4124,2020-05-27,Hongkongprotests,1265541963824201730,ching_hker,Ching😷🖐🏼Fight4Freedom🇭🇰,"@TwitterMoments Not the first time #HongKongpolice are targeting the common citizens.
#PoliceBrutality… https://t.co/F1JDmVTJeD",6,0,0,2020-05-27 07:14:51
